branch,auc_mean,auc_std,pr_mean,pr_std,train_s,test_s
0,0.7689168863031172,0.005190100248176101,0.4576097484797882,0.02182053072631033,35.58975345293681,50.75890011787415
2,0.7635400771923525,0.004449921375708635,0.4129919095926011,0.026269668381486973,33.22372914950053,53.35087536176046
3,0.7714469894166511,0.006888751094482508,0.459655233294736,0.030280001309208805,36.082078313827516,49.6535210609436
4,0.7732922075979254,0.004518697417735311,0.4674643339953525,0.020154517018002797,36.22212332089742,49.41125562985738
