dataset,branch,auc_mean,auc_std,pr_mean,pr_std,train_s,test_s,log_file
ad,0,0.7727636654872087,0.005400132197132069,0.4294883441597089,0.040130640887967264,53.76094055175781,136.47691904703777,run_ad_thr403_br0_20250828T043217Z.txt
ad,2,0.7689623603578547,0.0054545506861708075,0.39614482168706844,0.04594279632127188,51.79112373987834,144.1331021944682,run_ad_thr403_br2_20250828T051958Z.txt
ad,3,0.7770391744825065,0.006097020224637732,0.4518154946240829,0.029284985505266054,51.909465058644614,132.1133532524109,run_ad_thr403_br3_20250828T060859Z.txt
ad,4,0.7757412042831319,0.005195903668549697,0.43705680810620673,0.039038817252961634,51.86102239290873,136.18236430486044,run_ad_thr403_br4_20250828T065508Z.txt
