dataset,branch,auc_mean,auc_std,pr_mean,pr_std,train_s,test_s
ad,0,0.773721962123436,0.004460200475616314,0.4458571959009529,0.02412876296049597,60.005445369084676,167.84761912027994
ad,2,0.7663325813645658,0.004278327842224546,0.38533367982287536,0.025815602655575764,56.207716433207196,177.39990139007568
ad,3,0.775650298469795,0.0048063568943694625,0.4474929006979022,0.027803665690024508,60.470154730478924,164.18195134798685
ad,4,0.7747726582095933,0.0055314198012220775,0.4381578916671406,0.03937439444956755,60.49713659286499,164.74201073646546
